Month,GDP,BankRate,CPI,FederalRate,IPI,UnEmpRate,Oil,Commodity,TradeBal,Housing,BuildingPermit,SP500,DowJones
2005-01,12761.34,5.25,191.6,2.28,98.79,5.3,83.76,150.9,-55561.0,4.4,2139.0,1181.41,10539.51
2005-02,12761.34,5.49,192.4,2.5,99.45,5.4,84.61,151.6,-57454.0,4.3,2114.0,1199.63,10723.82
2005-03,12761.34,5.58,193.1,2.63,99.32,5.2,86.14,153.7,-52619.0,4.1,2062.0,1194.9,10682.09
2005-04,12910.02,5.75,193.7,2.79,99.46,5.2,85.55,155.0,-57115.0,4.3,2150.0,1164.43,10283.19
2005-05,12910.02,5.98,193.6,3.0,99.6,5.1,84.69,154.3,-56264.0,4.2,2085.0,1178.28,10377.18
2005-06,12910.02,6.01,193.7,3.04,99.98,5.0,83.69,154.3,-58260.0,4.3,2178.0,1202.25,10486.68
2005-07,13142.87,6.25,194.9,3.26,99.67,5.0,80.79,156.3,-58063.0,4.2,2203.0,1222.24,10545.38
2005-08,13142.87,6.44,196.1,3.5,99.95,4.9,79.95,157.6,-58388.0,4.5,2219.0,1224.27,10554.27
2005-09,13142.87,6.59,198.8,3.62,98.08,5.0,64.85,162.2,-64923.0,4.7,2263.0,1225.91,10532.54
2005-10,13332.32,6.75,199.1,3.78,99.32,5.0,70.08,166.2,-67140.0,4.5,2170.0,1191.96,10324.31
2005-11,13332.32,7.0,198.1,4.0,100.33,5.0,74.72,163.7,-64090.0,5.0,2218.0,1237.37,10695.25
2005-12,13332.32,7.15,198.1,4.16,100.95,4.9,76.73,163.0,-64366.0,4.9,2120.0,1262.07,10827.79
2006-01,13603.93,7.26,199.3,4.29,101.06,4.7,77.64,164.3,-66680.0,5.3,2212.0,1278.72,10872.48
2006-02,13603.93,7.5,199.4,4.49,101.08,4.8,77.4,161.8,-62851.0,6.1,2141.0,1276.65,10971.19
2006-03,13603.93,7.53,199.7,4.59,101.27,4.7,77.32,162.2,-62574.0,5.9,2118.0,1293.73,11144.45
2006-04,13749.81,7.75,200.7,4.79,101.69,4.7,78.16,164.3,-62844.0,6.3,1998.0,1302.17,11234.68
2006-05,13749.81,7.93,201.3,4.94,101.58,4.6,79.22,165.8,-64844.0,6.2,1905.0,1290.01,11333.88
2006-06,13749.81,8.02,201.8,4.99,101.97,4.6,79.4,166.1,-63481.0,6.3,1867.0,1253.17,10997.97
2006-07,13867.47,8.25,202.9,5.24,101.94,4.7,78.35,166.8,-66525.0,7.3,1763.0,1260.23,11032.53
2006-08,13867.47,8.25,203.8,5.25,102.33,4.7,77.51,167.9,-67823.0,6.7,1722.0,1287.15,11257.35
2006-09,13867.47,8.25,202.8,5.25,102.12,4.5,77.37,165.4,-64936.0,6.7,1655.0,1317.74,11533.6
2006-10,14037.23,8.25,201.9,5.25,102.07,4.4,78.56,162.2,-58990.0,7.3,1570.0,1363.38,11963.12
2006-11,14037.23,8.25,202.0,5.25,101.95,4.5,77.88,164.6,-58575.0,6.6,1535.0,1388.63,12185.15
2006-12,14037.23,8.25,203.1,5.24,103.03,4.4,79.76,165.6,-61592.0,6.5,1638.0,1416.42,12377.62
2007-01,14208.57,8.25,203.44,5.25,102.49,4.6,78.56,164.0,-57656.0,7.2,1626.0,1424.16,12512.89
2007-02,14208.57,8.25,204.23,5.26,103.54,4.5,78.71,166.8,-58478.0,7.9,1598.0,1444.79,12631.48
2007-03,14208.57,8.25,205.29,5.26,103.75,4.4,78.73,169.3,-61797.0,7.9,1596.0,1406.95,12268.53
2007-04,14382.36,8.25,205.9,5.25,104.5,4.5,79.67,171.4,-60514.0,7.4,1470.0,1463.64,12754.8
2007-05,14382.36,8.25,206.75,5.25,104.54,4.4,80.15,173.3,-59288.0,7.8,1493.0,1511.14,13407.76
2007-06,14382.36,8.25,207.23,5.25,104.57,4.6,78.06,173.8,-59520.0,8.2,1407.0,1514.49,13480.21
2007-07,14535.0,8.25,207.6,5.26,104.52,4.7,77.49,175.1,-59914.0,8.3,1361.0,1520.7,13677.89
2007-08,14535.0,8.25,207.67,5.02,104.74,4.6,76.44,172.4,-57005.0,9.2,1321.0,1454.62,13239.71
2007-09,14535.0,8.03,208.55,4.94,105.15,4.7,75.4,173.5,-57794.0,9.2,1261.0,1497.12,13557.69
2007-10,14681.5,7.74,209.19,4.76,104.72,4.7,77.24,174.7,-56538.0,8.5,1192.0,1539.66,13901.28
2007-11,14681.5,7.5,210.83,4.49,105.3,4.7,77.43,179.0,-59717.0,9.4,1224.0,1463.39,13200.58
2007-12,14681.5,7.33,211.44,4.24,105.35,5.0,78.61,178.6,-57154.0,9.6,1149.0,1479.22,13407.02
2008-01,14651.04,6.98,212.17,3.94,105.07,5.0,78.68,181.0,-61139.0,9.3,1094.0,1378.76,12538.12
2008-02,14651.04,6.0,212.69,2.98,104.71,4.9,79.08,182.7,-64348.0,9.7,1014.0,1354.87,12419.57
2008-03,14651.04,5.66,213.45,2.61,104.46,5.1,79.87,187.9,-60064.0,10.5,967.0,1316.94,12193.88
2008-04,14805.61,5.24,213.94,2.28,103.67,5.0,79.59,190.9,-63528.0,10.3,1008.0,1370.47,12656.77
2008-05,14805.61,5.0,215.21,1.98,103.08,5.4,79.13,196.6,-62151.0,10.7,995.0,1403.22,12812.48
2008-06,14805.61,5.0,217.46,2.0,102.84,5.6,79.0,200.5,-60670.0,10.7,1180.0,1341.25,12056.67
2008-07,14835.19,5.0,219.02,2.01,102.29,5.8,79.62,205.5,-66842.0,10.5,921.0,1257.33,11322.38
2008-08,14835.19,5.0,218.69,2.0,100.72,6.1,76.88,199.0,-62108.0,11.3,858.0,1281.47,11530.77
2008-09,14835.19,5.0,218.88,1.81,96.36,6.1,60.99,196.9,-60499.0,10.9,797.0,1217.02,11114.08
2008-10,14559.54,4.56,217.0,0.97,97.28,6.5,72.82,186.4,-60191.0,11.6,736.0,968.8,9176.71
2008-11,14559.54,4.0,213.15,0.39,96.06,6.8,78.03,176.8,-44724.0,11.4,626.0,883.04,8614.55
2008-12,14559.54,3.61,211.4,0.16,93.25,7.3,78.5,170.9,-42463.0,11.2,554.0,877.56,8595.56
2009-01,14394.55,3.25,211.93,0.15,91.03,7.8,79.04,171.2,-37842.0,12.2,545.0,865.58,8396.2
2009-02,14394.55,3.25,212.71,0.22,90.44,8.3,80.52,169.3,-27767.0,10.5,558.0,805.23,7690.49
2009-03,14394.55,3.25,212.5,0.18,89.01,8.7,80.13,168.1,-29162.0,11.0,513.0,757.13,7235.47
2009-04,14352.85,3.25,212.71,0.15,88.3,9.0,81.18,169.1,-29705.0,10.7,521.0,848.15,7992.12
2009-05,14352.85,3.25,213.02,0.18,87.41,9.4,82.68,170.8,-25372.0,9.3,556.0,902.41,8398.37
