DATE,PERMIT
2005-01-01,2139.0
2005-02-01,2114.0
2005-03-01,2062.0
2005-04-01,2150.0
2005-05-01,2085.0
2005-06-01,2178.0
2005-07-01,2203.0
2005-08-01,2219.0
2005-09-01,2263.0
2005-10-01,2170.0
2005-11-01,2218.0
2005-12-01,2120.0
2006-01-01,2212.0
2006-02-01,2141.0
2006-03-01,2118.0
2006-04-01,1998.0
2006-05-01,1905.0
2006-06-01,1867.0
2006-07-01,1763.0
2006-08-01,1722.0
2006-09-01,1655.0
2006-10-01,1570.0
2006-11-01,1535.0
2006-12-01,1638.0
2007-01-01,1626.0
2007-02-01,1598.0
2007-03-01,1596.0
2007-04-01,1470.0
2007-05-01,1493.0
2007-06-01,1407.0
2007-07-01,1361.0
2007-08-01,1321.0
2007-09-01,1261.0
2007-10-01,1192.0
2007-11-01,1224.0
2007-12-01,1149.0
2008-01-01,1094
2008-02-01,1014
2008-03-01,967
2008-04-01,1008
2008-05-01,995
2008-06-01,1180
2008-07-01,921
2008-08-01,858
2008-09-01,797
2008-10-01,736
2008-11-01,626
2008-12-01,554
2009-01-01,545
2009-02-01,558
2009-03-01,513
2009-04-01,521
2009-05-01,556
2009-06-01,601
2009-07-01,595
2009-08-01,616
2009-09-01,609
2009-10-01,583
2009-11-01,623
2009-12-01,664
2010-01-01,636
2010-02-01,650
2010-03-01,687
2010-04-01,637
2010-05-01,575
2010-06-01,587
2010-07-01,579
2010-08-01,580
2010-09-01,563
2010-10-01,558
2010-11-01,560
2010-12-01,632
2011-01-01,576
2011-02-01,542
2011-03-01,583
2011-04-01,581
2011-05-01,618
2011-06-01,636
2011-07-01,621
2011-08-01,647
2011-09-01,610
2011-10-01,671
2011-11-01,706
2011-12-01,697
2012-01-01,712.0
2012-02-01,738.0
2012-03-01,806.0
2012-04-01,732.0
2012-05-01,796.0
2012-06-01,794.0
2012-07-01,849.0
2012-08-01,840.0
2012-09-01,930.0
2012-10-01,887.0
2012-11-01,917.0
2012-12-01,941.0
2013-01-01,940.0
2013-02-01,979.0
2013-03-01,936.0
2013-04-01,1016.0
2013-05-01,1003.0
2013-06-01,941.0
2013-07-01,998.0
2013-08-01,961.0
2013-09-01,1004.0
2013-10-01,1041.0
2013-11-01,1031.0
2013-12-01,1009.0
2014-01-01,985.0
2014-02-01,1047.0
2014-03-01,1061.0
2014-04-01,1089.0
2014-05-01,1019.0
2014-06-01,1002.0
2014-07-01,1072.0
2014-08-01,1042.0
2014-09-01,1072.0
2014-10-01,1099.0
2014-11-01,1063.0
2014-12-01,1077.0
2015-01-01,1060.0
2015-02-01,1133.0
2015-03-01,1071.0
2015-04-01,1170.0
2015-05-01,1271.0
2015-06-01,1362.0
2015-07-01,1139.0
2015-08-01,1159
2015-09-01,1135.0
2015-10-01,1162.0
2015-11-01,1258.0
2015-12-01,1217.0
2016-01-01,1179.0
2016-02-01,1195
2016-03-01,1106.0
2016-04-01,1162.0
2016-05-01,1192.0
2016-06-01,1194.0
2016-07-01,1185.0
2016-08-01,1195.0
2016-09-01,1276.0
2016-10-01,1276.0
2016-11-01,1249.0
2016-12-01,1263.0
2017-01-01,1329.0
2017-02-01,1248.0
2017-03-01,1279.0
2017-04-01,1255.0
2017-05-01,1205.0
2017-06-01,1312.0
2017-07-01,1258.0
2017-08-01,1300.0
2017-09-01,1254.0
2017-10-01,1343.0
2017-11-01,1323.0
2017-12-01,1320.0
2018-01-01,1366.0
2018-02-01,1323.0
2018-03-01,1377.0
2018-04-01,1364.0
2018-05-01,1301.0
2018-06-01,1292.0
2018-07-01,1303.0
2018-08-01,1249.0
2018-09-01,1270.0
2018-10-01,1265.0
2018-11-01,1328.0
