DATE,INDPRO
2005-01-01,98.7904
2005-02-01,99.4550
2005-03-01,99.3156
2005-04-01,99.4648
2005-05-01,99.5970
2005-06-01,99.9838
2005-07-01,99.6737
2005-08-01,99.9451
2005-09-01,98.0824
2005-10-01,99.3185
2005-11-01,100.3282
2005-12-01,100.9458
2006-01-01,101.0637
2006-02-01,101.0761
2006-03-01,101.2742
2006-04-01,101.6854
2006-05-01,101.5801
2006-06-01,101.9746
2006-07-01,101.9374
2006-08-01,102.3309
2006-09-01,102.1204
2006-10-01,102.0653
2006-11-01,101.9538
2006-12-01,103.0260
2007-01-01,102.4915
2007-02-01,103.5443
2007-03-01,103.7537
2007-04-01,104.5018
2007-05-01,104.5419
2007-06-01,104.5669
2007-07-01,104.5217
2007-08-01,104.7387
2007-09-01,105.1499
2007-10-01,104.7167
2007-11-01,105.3037
2007-12-01,105.3530
2008-01-01,105.0730
2008-02-01,104.7137
2008-03-01,104.4635
2008-04-01,103.6727
2008-05-01,103.0850
2008-06-01,102.8361
2008-07-01,102.2939
2008-08-01,100.7209
2008-09-01,96.3567
2008-10-01,97.2844
2008-11-01,96.0552
2008-12-01,93.2520
2009-01-01,91.0332
2009-02-01,90.4375
2009-03-01,89.0085
2009-04-01,88.2959
2009-05-01,87.4078
2009-06-01,87.0694
2009-07-01,88.0285
2009-08-01,89.0244
2009-09-01,89.6975
2009-10-01,89.9906
2009-11-01,90.3515
2009-12-01,90.6212
2010-01-01,91.6849
2010-02-01,92.0073
2010-03-01,92.6104
2010-04-01,92.9600
2010-05-01,94.2988
2010-06-01,94.4319
2010-07-01,94.8360
2010-08-01,95.1423
2010-09-01,95.3500
2010-10-01,95.0991
2010-11-01,95.1376
2010-12-01,96.0339
2011-01-01,95.9363
2011-02-01,95.5147
2011-03-01,96.4651
2011-04-01,96.1325
2011-05-01,96.3347
2011-06-01,96.5889
2011-07-01,97.1011
2011-08-01,97.6642
2011-09-01,97.6132
2011-10-01,98.2931
2011-11-01,98.2325
2011-12-01,98.7699
2012-01-01,99.3672
2012-02-01,99.6443
2012-03-01,99.1594
2012-04-01,99.9173
2012-05-01,100.0956
2012-06-01,100.0478
2012-07-01,100.3144
2012-08-01,99.9036
2012-09-01,99.8944
2012-10-01,100.1192
2012-11-01,100.6100
2012-12-01,100.9267
2013-01-01,100.8779
2013-02-01,101.4265
2013-03-01,101.8186
2013-04-01,101.6950
2013-05-01,101.7517
2013-06-01,101.9486
2013-07-01,101.4460
2013-08-01,102.1758
2013-09-01,102.6774
2013-10-01,102.5438
2013-11-01,102.8625
2013-12-01,103.1747
2014-01-01,102.7053
2014-02-01,103.6016
2014-03-01,104.5893
2014-04-01,104.7423
2014-05-01,105.0571
2014-06-01,105.4084
2014-07-01,105.5609
2014-08-01,105.4797
2014-09-01,105.7908
2014-10-01,105.8154
2014-11-01,106.6630
2014-12-01,106.5032
2015-01-01,105.8772
2015-02-01,105.4193
2015-03-01,105.0856
2015-04-01,104.5604
2015-05-01,104.0675
2015-06-01,103.6891
2015-07-01,104.2443
2015-08-01,104.1318
2015-09-01,103.7281
2015-10-01,103.3569
2015-11-01,102.7323
2015-12-01,102.2696
2016-01-01,103.0314
2016-02-01,102.3429
2016-03-01,101.5415
2016-04-01,101.7479
2016-05-01,101.6011
2016-06-01,101.9476
2016-07-01,102.1435
2016-08-01,102.0654
2016-09-01,101.9304
2016-10-01,102.0557
2016-11-01,101.8293
2016-12-01,102.7877
2017-01-01,102.5393
2017-02-01,102.1574
2017-03-01,102.7236
2017-04-01,103.7148
2017-05-01,103.7121
2017-06-01,103.7710
2017-07-01,103.6206
2017-08-01,103.1956
2017-09-01,103.1760
2017-10-01,104.7647
2017-11-01,105.2943
2017-12-01,105.7698
2018-01-01,105.4371
2018-02-01,105.9166
2018-03-01,106.4488
2018-04-01,107.6624
2018-05-01,106.7781
2018-06-01,107.4443
2018-07-01,107.8948
2018-08-01,108.7906
2018-09-01,108.9362
2018-10-01,109.1487
2018-11-01,109.5683
2018-12-01,109.9487
