DATE,IPG211111CN
2005-01-01,83.7642
2005-02-01,84.6120
2005-03-01,86.1379
2005-04-01,85.5506
2005-05-01,84.6936
2005-06-01,83.6885
2005-07-01,80.7871
2005-08-01,79.9509
2005-09-01,64.8455
2005-10-01,70.0811
2005-11-01,74.7186
2005-12-01,76.7289
2006-01-01,77.6428
2006-02-01,77.3970
2006-03-01,77.3209
2006-04-01,78.1574
2006-05-01,79.2164
2006-06-01,79.4043
2006-07-01,78.3495
2006-08-01,77.5123
2006-09-01,77.3727
2006-10-01,78.5606
2006-11-01,77.8840
2006-12-01,79.7591
2007-01-01,78.5558
2007-02-01,78.7107
2007-03-01,78.7325
2007-04-01,79.6704
2007-05-01,80.1479
2007-06-01,78.0555
2007-07-01,77.4852
2007-08-01,76.4360
2007-09-01,75.3969
2007-10-01,77.2418
2007-11-01,77.4268
2007-12-01,78.6075
2008-01-01,78.6779
2008-02-01,79.0813
2008-03-01,79.8686
2008-04-01,79.5884
2008-05-01,79.1308
2008-06-01,78.9993
2008-07-01,79.6186
2008-08-01,76.8803
2008-09-01,60.9870
2008-10-01,72.8246
2008-11-01,78.0253
2008-12-01,78.5050
2009-01-01,79.0355
2009-02-01,80.5224
2009-03-01,80.1327
2009-04-01,81.1841
2009-05-01,82.6754
2009-06-01,81.0095
2009-07-01,82.9542
2009-08-01,83.2367
2009-09-01,85.5055
2009-10-01,84.8793
2009-11-01,82.7522
2009-12-01,83.7305
2010-01-01,82.9670
2010-02-01,85.3659
2010-03-01,84.6892
2010-04-01,82.8195
2010-05-01,82.9392
2010-06-01,82.8051
2010-07-01,81.5257
2010-08-01,83.7262
2010-09-01,86.3266
2010-10-01,86.4808
2010-11-01,85.5949
2010-12-01,86.1140
2011-01-01,84.4067
2011-02-01,82.9909
2011-03-01,86.2572
2011-04-01,85.3621
2011-05-01,86.2801
2011-06-01,85.7623
2011-07-01,83.4626
2011-08-01,86.8059
2011-09-01,85.6882
2011-10-01,90.1904
2011-11-01,91.9306
2011-12-01,92.8784
2012-01-01,94.5467
2012-02-01,96.0163
2012-03-01,96.8483
2012-04-01,96.7556
2012-05-01,97.6194
2012-06-01,96.4300
2012-07-01,98.8010
2012-08-01,97.9553
2012-09-01,100.9300
2012-10-01,106.8455
2012-11-01,108.2173
2012-12-01,109.0346
2013-01-01,108.8828
2013-02-01,109.8550
2013-03-01,110.8711
2013-04-01,113.5063
2013-05-01,112.3489
2013-06-01,111.6870
2013-07-01,114.9170
2013-08-01,115.6820
2013-09-01,119.4991
2013-10-01,118.6923
2013-11-01,121.3022
2013-12-01,121.9180
2014-01-01,123.5343
2014-02-01,124.9423
2014-03-01,127.0823
2014-04-01,132.3751
2014-05-01,132.3389
2014-06-01,134.0706
2014-07-01,135.5806
2014-08-01,136.5102
2014-09-01,139.2898
2014-10-01,142.1526
2014-11-01,143.1195
2014-12-01,145.7436
2015-01-01,144.1016
2015-02-01,146.8598
2015-03-01,147.2282
2015-04-01,148.2301
2015-05-01,145.1736
2015-06-01,143.6635
2015-07-01,144.7774
2015-08-01,144.4260
2015-09-01,145.0120
2015-10-01,143.8095
2015-11-01,143.3063
2015-12-01,142.1108
2016-01-01,141.4531
2016-02-01,140.2320
2016-03-01,140.6478
2016-04-01,137.1425
2016-05-01,136.4135
2016-06-01,134.0071
2016-07-01,133.6836
2016-08-01,134.2174
2016-09-01,131.7082
2016-10-01,135.3648
2016-11-01,136.6745
2016-12-01,135.0546
2017-01-01,135.8876
2017-02-01,139.2841
2017-03-01,140.2291
2017-04-01,140.0202
2017-05-01,140.6611
2017-06-01,139.6390
2017-07-01,141.8104
2017-08-01,141.5559
2017-09-01,146.0581
2017-10-01,148.7321
2017-11-01,154.9937
2017-12-01,153.8429
2018-01-01,153.4030
2018-02-01,157.1625
2018-03-01,160.4418
2018-04-01,160.6550
2018-05-01,160.4905
2018-06-01,163.6945
2018-07-01,167.7281
2018-08-01,173.6895
2018-09-01,175.7424
2018-10-01,176.9468
2018-11-01,183.5460
2018-12-01,182.9535
